Rating,Company,Average,Lowest,Highest,yr/mo/hr
3.6,Tech Mahindra,937156,"4,18,054","23,35,432",/yr
3.7,Optum,1508702,"8,87,265","24,00,000",/yr
4.1,Fresher,540557,"1,89,354","14,72,751",/yr
3.7,HCL Technologies,887986,"4,16,339","19,26,785",/yr
3.9,Genpact,972181,"2,49,195","23,82,853",/yr
3.8,LTI,832677,"2,46,200","26,00,000",/yr
3.6,UnitedHealth Group,1361430,"5,14,511","20,48,386",/yr
4.3,Embibe,1452596,"9,15,998","22,47,916",/yr
3.8,Reliance Industries,982518,"5,00,000","27,43,551",/yr
3.9,ABC,683081,"1,31,699","20,41,853",/yr
3.9,Oracle,1531212,"5,33,108","40,00,000",/yr
4.1,Flipkart,2663641,"2,50,000","45,23,450",/yr
3.8,Nielsen,740158,"6,31,179","14,13,263",/yr
3.5,Cyient,1046403,"1,55,256","16,46,131",/yr
4,Optum Global Solutions,1408050,"3,68,188","21,50,000",/yr
3.5,DXC Technology,973157,"4,15,326","20,00,000",/yr
3.7,EXL Service,1151347,"6,10,485","16,61,303",/yr
4.2,HP Inc.,1645967,"7,46,186","29,67,786",/yr
4.3,Fresher,600000,"2,54,016","10,00,000",/yr
3.9,Verizon,1281310,"7,77,450","20,33,829",/yr
3.8,Wolters Kluwer,1191427,"9,18,834","1,01,17,678",/yr
3.8,Tata Consultancy Services (North America),763201,"1,93,913","25,02,101",/yr
4,Thoucentric,868881,"5,62,093","15,37,408",/yr
4.2,Bharti Airtel,2074121,"10,13,700","25,03,677",/yr
3.6,Fuzzy Logix,1606145,"5,76,145","23,28,840",/yr
4,PayPal,2499016,"2,35,564","51,16,872",/yr
3.9,Axis Bank,1224913,"2,28,000","50,49,432",/yr
4.1,HiLabs,1980830,"18,21,265","28,14,280",/yr
3.6,Atos-Syntel,904867,"3,55,025","32,66,964",/yr
4.1,Myntra,2100379,"5,83,439","24,00,000",/yr
3.3,Walmart,2508786,"19,83,692","38,30,994",/yr
4.2,Nagarro,1083115,"4,26,392","21,85,778",/yr
4.3,AlgoAnalytics Financial Consultancy,770714,"5,12,808","11,27,515",/yr
3.8,Bajaj Finance,1225112,"1,96,367","24,43,413",/yr
4.4,SAP,1769439,"5,00,000","43,71,556",/yr
3.4,OYO,1300000,"8,00,000","21,89,339",/yr
3.9,Innominds Software,813024,"5,39,500","12,19,277",/yr
4.3,Gramener,876841,"8,12,852","14,36,623",/yr
3.9,Mercedes-Benz Research and Development India,1368504,"7,14,648","21,23,120",/yr
3.9,ABB,1110094,"7,49,305","17,50,316",/yr
4.3,Housing.com,2119156,"9,99,578","25,42,988",/yr
